site_id,class_id,spp_id,size_class,a,b,w,mpa_id
1,1,52,20,0.004,3.275,72.93453646227073,1
1,1,52,25,0.004,3.275,151.4654291651658,1
1,1,52,30,0.004,3.275,275.18965295580875,1
1,1,52,40,0.004,3.275,706.0028641543724,1
1,1,52,40,0.004,3.275,706.0028641543724,1
1,1,52,25,0.004,3.275,151.4654291651658,1
1,1,52,20,0.004,3.275,72.93453646227073,1
1,1,52,30,0.004,3.275,275.18965295580875,1
1,1,52,20,0.004,3.275,72.93453646227073,1
1,1,52,30,0.004,3.275,275.18965295580875,1
1,1,52,10,0.004,3.275,7.534596357959201,1
1,1,52,20,0.004,3.275,72.93453646227073,1
1,1,52,15,0.004,3.275,28.42882202975941,1
1,1,52,20,0.004,3.275,72.93453646227073,1
1,1,94,7.5,0.0091,3.137,5.059511362607878,1
1,1,44,5,0.0152,3.0063,1.9193629709456266,1
1,1,44,7.5,0.0152,3.0063,6.4944183949192285,1
1,1,44,10,0.0152,3.0063,15.422102595617654,1
1,1,44,12.5,0.0152,3.0063,30.163668557182834,1
1,1,44,2.5,0.0152,3.0063,0.23887496477192774,1
1,1,44,5,0.0152,3.0063,1.9193629709456266,1
1,1,44,10,0.0152,3.0063,15.422102595617654,1
1,1,44,7.5,0.0152,3.0063,6.4944183949192285,1
1,1,44,10,0.0152,3.0063,15.422102595617654,1
1,1,44,15,0.0152,3.0063,52.18272327925838,1
1,1,44,2.5,0.0152,3.0063,0.23887496477192774,1
1,1,44,5,0.0152,3.0063,1.9193629709456266,1
1,1,44,7.5,0.0152,3.0063,6.4944183949192285,1
1,1,44,10,0.0152,3.0063,15.422102595617654,1
1,1,44,12.5,0.0152,3.0063,30.163668557182834,1
1,1,44,7.5,0.0152,3.0063,6.4944183949192285,1
1,1,44,10,0.0152,3.0063,15.422102595617654,1
1,1,44,12.5,0.0152,3.0063,30.163668557182834,1
1,1,44,5,0.0152,3.0063,1.9193629709456266,1
1,1,44,7.5,0.0152,3.0063,6.4944183949192285,1
1,1,44,10,0.0152,3.0063,15.422102595617654,1
1,1,44,12.5,0.0152,3.0063,30.163668557182834,1
1,1,44,7.5,0.0152,3.0063,6.4944183949192285,1
1,1,44,10,0.0152,3.0063,15.422102595617654,1
1,1,44,10,0.0152,3.0063,15.422102595617654,1
1,1,44,5,0.0152,3.0063,1.9193629709456266,1
1,1,44,7.5,0.0152,3.0063,6.4944183949192285,1
1,1,44,10,0.0152,3.0063,15.422102595617654,1
1,1,44,2.5,0.0152,3.0063,0.23887496477192774,1
1,1,44,7.5,0.0152,3.0063,6.4944183949192285,1
1,1,44,5,0.0152,3.0063,1.9193629709456266,1
1,1,44,7.5,0.0152,3.0063,6.4944183949192285,1
1,1,44,2.5,0.0152,3.0063,0.23887496477192774,1
1,1,44,7.5,0.0152,3.0063,6.4944183949192285,1
1,1,44,5,0.0152,3.0063,1.9193629709456266,1
1,1,44,7.5,0.0152,3.0063,6.4944183949192285,1
1,1,44,5,0.0152,3.0063,1.9193629709456266,1
1,1,44,7.5,0.0152,3.0063,6.4944183949192285,1
1,1,44,5,0.0152,3.0063,1.9193629709456266,1
1,1,44,7.5,0.0152,3.0063,6.4944183949192285,1
1,1,44,10,0.0152,3.0063,15.422102595617654,1
1,1,44,5,0.0152,3.0063,1.9193629709456266,1
1,1,44,7.5,0.0152,3.0063,6.4944183949192285,1
1,1,44,10,0.0152,3.0063,15.422102595617654,1
1,1,44,12.5,0.0152,3.0063,30.163668557182834,1
1,1,44,15,0.0152,3.0063,52.18272327925838,1
1,1,44,7.5,0.0152,3.0063,6.4944183949192285,1
1,1,44,10,0.0152,3.0063,15.422102595617654,1
1,1,44,12.5,0.0152,3.0063,30.163668557182834,1
1,1,44,10,0.0152,3.0063,15.422102595617654,1
1,1,44,5,0.0152,3.0063,1.9193629709456266,1
1,1,44,7.5,0.0152,3.0063,6.4944183949192285,1
1,1,44,10,0.0152,3.0063,15.422102595617654,1
1,1,44,12.5,0.0152,3.0063,30.163668557182834,1
1,1,44,12.5,0.0152,3.0063,30.163668557182834,1
1,1,44,2.5,0.0152,3.0063,0.23887496477192774,1
1,1,44,5,0.0152,3.0063,1.9193629709456266,1
1,1,44,7.5,0.0152,3.0063,6.4944183949192285,1
1,1,44,10,0.0152,3.0063,15.422102595617654,1
1,1,44,12.5,0.0152,3.0063,30.163668557182834,1
1,1,44,7.5,0.0152,3.0063,6.4944183949192285,1
1,1,44,10,0.0152,3.0063,15.422102595617654,1
1,1,44,12.5,0.0152,3.0063,30.163668557182834,1
1,1,44,15,0.0152,3.0063,52.18272327925838,1
1,1,44,25,0.0152,3.0063,242.3654088313962,1
1,1,44,7.5,0.0152,3.0063,6.4944183949192285,1
1,1,44,10,0.0152,3.0063,15.422102595617654,1
1,1,44,12.5,0.0152,3.0063,30.163668557182834,1
1,1,44,2.5,0.0152,3.0063,0.23887496477192774,1
1,1,44,5,0.0152,3.0063,1.9193629709456266,1
1,1,44,7.5,0.0152,3.0063,6.4944183949192285,1
1,1,44,5,0.0152,3.0063,1.9193629709456266,1
1,1,44,7.5,0.0152,3.0063,6.4944183949192285,1
1,1,44,10,0.0152,3.0063,15.422102595617654,1
1,1,44,12.5,0.0152,3.0063,30.163668557182834,1
1,1,44,15,0.0152,3.0063,52.18272327925838,1
1,1,44,10,0.0152,3.0063,15.422102595617654,1
1,1,44,12.5,0.0152,3.0063,30.163668557182834,1
1,1,44,15,0.0152,3.0063,52.18272327925838,1
1,1,44,20,0.0152,3.0063,123.91676408791912,1
1,1,44,2.5,0.0152,3.0063,0.23887496477192774,1
1,1,44,5,0.0152,3.0063,1.9193629709456266,1
1,1,44,7.5,0.0152,3.0063,6.4944183949192285,1
1,1,44,10,0.0152,3.0063,15.422102595617654,1
1,1,44,12.5,0.0152,3.0063,30.163668557182834,1
1,1,44,10,0.0152,3.0063,15.422102595617654,1
1,1,44,2.5,0.0152,3.0063,0.23887496477192774,1
1,1,44,5,0.0152,3.0063,1.9193629709456266,1
1,1,44,7.5,0.0152,3.0063,6.4944183949192285,1
1,1,44,10,0.0152,3.0063,15.422102595617654,1
1,1,44,5,0.0152,3.0063,1.9193629709456266,1
1,1,44,5,0.0152,3.0063,1.9193629709456266,1
1,1,44,7.5,0.0152,3.0063,6.4944183949192285,1
1,1,44,2.5,0.0152,3.0063,0.23887496477192774,1
1,1,44,5,0.0152,3.0063,1.9193629709456266,1
1,1,44,7.5,0.0152,3.0063,6.4944183949192285,1
1,1,44,10,0.0152,3.0063,15.422102595617654,1
1,1,44,12.5,0.0152,3.0063,30.163668557182834,1
1,1,44,2.5,0.0152,3.0063,0.23887496477192774,1
1,1,44,5,0.0152,3.0063,1.9193629709456266,1
1,1,44,7.5,0.0152,3.0063,6.4944183949192285,1
1,1,44,10,0.0152,3.0063,15.422102595617654,1
1,1,44,5,0.0152,3.0063,1.9193629709456266,1
